分类: 🌏台湾其他, 名称: 大爱2台, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: 人间卫视, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 2294 ms, 最高速率: 0.67 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1280x720, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏台湾其他, 名称: 生命电视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 2751 ms, 最高速率: 0.61 M/s, 平均速率: 0.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏台湾其他, 名称: CGNTV Chinese, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: 唯心電视, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 1252 ms, 最高速率: 0.74 M/s, 平均速率: 0.63 M/s, 最高分辨率: 854x480, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: mp3
分类: 🌏台湾其他, 名称: 台湾番薯台, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: DAZN 1, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: DAZN 2, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🎭台湾戏剧电影, 名称: Hollywood, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 15855 ms, 最高速率: 0.09 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 🌏台湾其他, 名称: ELTA 1, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: ELTA 2, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: ELTA 3, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: ELTA 4, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: 大立电视台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 15576 ms, 最高速率: 0.38 M/s, 平均速率: 0.38 M/s, 最高分辨率: 1280x720, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏台湾其他, 名称: NICE TV, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 1088 ms, 最高速率: 0.82 M/s, 平均速率: 0.82 M/s, 最高分辨率: 1280x720, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏台湾其他, 名称: ROCK Entertainment, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 2972 ms, 最高速率: 0.60 M/s, 平均速率: 0.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🌏台湾其他, 名称: SBN全球财经, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🌏台湾其他, 名称: Lifetime, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 930 ms, 最高速率: 0.28 M/s, 平均速率: 0.00 M/s, 最高分辨率: 640x360, 平均帧率: 59.94, 视频编解码器: h264, 音频编解码器: aac
